id;start_date;end_date;language
1;2020-10-27T16:40:12;2020-10-27T14:30:27;SPANISH
2;2020-10-26T21:30:23;2020-10-27T16:34:48;SPANISH
3;2020-10-27T12:25:42;2020-10-26T22:59:51;FRENCH
4;2020-10-27T03:43:13;2020-10-27T15:14:39;FRENCH
5;2020-10-27T13:13:31;2020-10-27T18:00:30;FRENCH
6;2020-10-27T07:05:52;2020-10-27T19:14:06;FRENCH
7;2020-10-27T08:51:12;2020-10-27T02:42:03;FRENCH
8;2020-10-27T07:47:25;2020-10-27T18:03:33;SPANISH
9;2020-10-27T06:28:34;2020-10-27T03:09:57;SPANISH
10;2020-10-27T14:40:38;2020-10-27T01:15:08;SPANISH
